SDSS,Plate,MJD,Fiber,RA,Dec,umag,gmag,rmag,imag,zmag,Teff,logg,Mass,Type,spec_file,filename,object_name,plate,mjd,fiberid,z,J0410_mag,J0410_err,J0430_mag,J0430_err,iSDSS_mag,iSDSS_err,J0660_mag,J0660_err,rSDSS_mag,rSDSS_err,J0515_mag,J0515_err,zSDSS_mag,zSDSS_err,J0378_mag,J0378_err,gSDSS_mag,gSDSS_err,J0395_mag,J0395_err,uJAVA_mag,uJAVA_err,J0861_mag,J0861_err
000555.91-100213.4,650,52143,37,1.4829534,-10.037055,17.32,17.71,18.12,18.48,18.77,79245.0,9.56,,DQHOT,results_convolution_2/spectra/spec-0650-52143-0037.fits,spec-0650-52143-0037.fits,0650-52142-01,650.0,52143.0,37.0,,17.33328503939537,0.0032508126586088,17.527699429667287,0.0030964571225005,18.490060023267937,0.0027421816463291,18.33541156007696,0.0042745170419841,18.09778165691734,0.0014161110791298,17.760082069869775,0.0028862627159959,18.5966277175182,0.0084996867333549,17.209177693550338,0.0106447801554699,17.581777060581494,0.001111747351738,17.30822011727266,0.0053542846949558,17.374680901309368,0.0094460262932788,18.64967019249567,0.0103112919869762
000557.20+001833.3,388,51793,394,1.4883209,0.30924276,19.08,18.75,18.71,18.81,18.89,10120.0,9.44,,DZ,results_convolution_2/spectra/spec-0388-51793-0394.fits,spec-0388-51793-0394.fits,0388-51792-02,388.0,51793.0,394.0,,18.84864329230934,0.0083884654881043,18.80797997117471,0.0072442264142544,19.26075340109326,0.0067633349122411,19.111157774828207,0.0087064755735145,19.04416127696306,0.0032675793333653,18.89889140457918,0.0068977019643367,19.28768984170913,0.0215553017310877,18.93384987010992,0.0284896623059048,18.85947272433521,0.0026930973772635,19.37326454739325,0.0201843486284799,19.09812039824944,0.0275825202878079,19.374990343113687,0.0273192475080017
000557.20+001833.3,685,52203,615,1.4883209,0.30924276,19.08,18.75,18.71,18.81,18.89,10118.0,9.36,,DZ,results_convolution_2/spectra/spec-0685-52203-0615.fits,spec-0685-52203-0615.fits,0685-52202-02,685.0,52203.0,615.0,,19.17403567923824,0.0083799784926017,19.05137098000753,0.0068315542370661,18.994503988662807,0.0035484479555241,18.921110723121625,0.005740359898101,18.907006310364643,0.0023497310694952,18.942831995398382,0.0054569625433046,18.901552071998843,0.0095331865340559,19.279782246804626,0.0341687142816644,18.986554801654314,0.0022888561035332,19.685996507533797,0.0195892249714355,19.448012262769687,0.0272302429389086,18.97154987212644,0.0126868120300247
000557.20+001833.3,686,52519,440,1.4883209,0.30924276,19.08,18.75,18.71,18.81,18.89,10118.0,9.17,,DZ,results_convolution_2/spectra/spec-0686-52519-0440.fits,spec-0686-52519-0440.fits,0686-52519-01,686.0,52519.0,440.0,,20.287779785087103,0.0225703289564809,20.06681500398725,0.0166705096714697,19.493511188997296,0.0056574351225475,19.44658530312622,0.0097911968986241,19.47729050224532,0.0039195226972525,19.6680575987208,0.0109952730258921,19.56225792692148,0.0164032365812055,20.4979106538482,0.084914631899156,19.84037693266304,0.0050123457536504,20.96599418147473,0.0624040795897039,20.60288522594441,0.0812885893143953,19.64102699568243,0.0218981033696829
000559.87-054416.1,2624,54380,60,1.499476,-5.7378,18.56,18.32,17.76,17.07,16.62,6300.0,5.0,,DAM,results_convolution_2/spectra/spec-2624-54380-0060.fits,spec-2624-54380-0060.fits,2624-54332-01,2624.0,54380.0,60.0,,18.41505254867699,0.0044391561744697,18.42279098258475,0.003852711977985,16.97708143167406,0.0007254460572404,17.4840905912528,0.0020784042958735,17.707031843044284,0.0008336744982768,18.25472617631464,0.0030040160272649,16.585355271261356,0.0012682806037083,18.571717665858152,0.0176263986276964,18.24179669348336,0.0012061539459545,18.48386971338119,0.0076064956163922,18.702488353040657,0.0152107515663713,16.67871318927309,0.0016972450306973
000636.62+160237.7,751,52251,528,1.652568,16.043819,19.48,19.01,19.05,19.08,19.13,9470.0,8.18,0.703,DA,results_convolution_2/spectra/spec-0751-52251-0528.fits,spec-0751-52251-0528.fits,0751-52245-01,751.0,52251.0,528.0,,19.12568058063234,0.0079964687061219,19.100062457651184,0.0070552435749334,19.080194473483125,0.0039749727932149,19.193190591882875,0.0076623275159285,19.005865458022846,0.0028011121510461,18.93929781888628,0.0057291794759952,19.08042055253401,0.0108519781806089,19.38008862387101,0.0319525084118455,19.004284918504705,0.0023636377515585,19.263125581497853,0.0139776549569699,19.498635489909468,0.0274559409359065,19.153460360707506,0.0144337880559136
000651.91+284647.1,2824,54452,601,1.716307,28.779762,19.27,18.67,18.25,17.15,16.47,7533.0,5.0,,DAM,results_convolution_2/spectra/spec-2824-54452-0601.fits,spec-2824-54452-0601.fits,2824-54414-01,2824.0,54452.0,601.0,,18.913821420875827,0.0032500923417395,18.87417772296288,0.0028918288429697,17.101698423772838,0.0004732063063778,17.877233778272476,0.0016033793293424,18.098745977454094,0.000656765700886,18.49879416683905,0.0020486707069116,16.586060520631044,0.0007147517021068,19.265791608999827,0.0141329861392317,18.60239520849797,0.0008649429581917,19.13884211807308,0.0056920898374117,19.383291462720077,0.0112721829376346,16.703358018593498,0.0010209268621564
000711.41+283848.6,2824,54452,608,1.797528,28.64683,21.02,20.46,20.01,19.05,18.46,6300.0,5.05,,DAM,results_convolution_2/spectra/spec-2824-54452-0608.fits,spec-2824-54452-0608.fits,2824-54414-01,2824.0,54452.0,608.0,,20.84829649604773,0.0132481552249447,20.77440757993771,0.0113755397824427,18.88565862061619,0.001621271695794,19.66917522414653,0.0053078635298803,19.917332866098825,0.0025137968337976,20.376494385579413,0.0077056051479445,18.32757457713385,0.0027729629566623,21.35213228959673,0.0699416363003199,20.496215397043663,0.0033303373707029,21.034894039809565,0.0228563793007252,21.43284909477166,0.0535322821450689,18.44533708910378,0.0037718081070544
000739.68+244534.7,2822,54389,104,1.915348,24.759626,19.91,20.27,20.64,21.03,21.45,45121.0,7.52,0.497,DA,results_convolution_2/spectra/spec-2822-54389-0104.fits,spec-2822-54389-0104.fits,2822-54379-01,2822.0,54389.0,104.0,,20.11448674084425,0.0120224191366544,20.251399235176955,0.0112929084580435,21.469857741273,0.0170229893410015,21.117384615179,0.0211707516487174,20.980251900381823,0.0079909858140534,20.570997381268207,0.0121353891053405,22.541991381789707,0.1296523442944744,20.01149960924183,0.0409003637672138,20.39894465888691,0.0044771382265423,20.01632738960389,0.0187690220941015,20.1748832272096,0.036048115517301,23.773926582644,0.4995283182107481
001008.65-001841.8,686,52519,102,2.5360424,-0.31161122,20.43,20.47,20.7,20.92,20.43,16263.0,7.77,0.472,DB,results_convolution_2/spectra/spec-0686-52519-0102.fits,spec-0686-52519-0102.fits,0686-52519-01,686.0,52519.0,102.0,,20.593413404333734,0.0318427799925521,20.55879345440936,0.0271981377971973,21.308461236132963,0.0195352107271018,21.34786689600245,0.03829022513896,21.073779955605996,0.0128421952087623,20.799593943340906,0.0251552899185,21.493746759216428,0.0648900980586477,20.6582675234013,0.1011308607374572,20.67133050765744,0.00996878707378,20.699612263698008,0.0555318466742532,20.86843742371486,0.107431711181276,21.619944691922772,0.0887171499856809
001009.70-091328.5,651,52141,579,2.5403995,-9.2245887,20.44,20.12,20.28,20.47,20.7,12673.0,8.05,0.634,DA,results_convolution_2/spectra/spec-0651-52141-0579.fits,spec-0651-52141-0579.fits,0651-52139-01,651.0,52141.0,579.0,,20.291430998609638,0.0247955815526526,20.172286333031018,0.0194991298541407,20.599683306069373,0.0189564515005887,20.63243243596714,0.0285378591359484,20.24464230718633,0.0085704952740775,20.02510529959435,0.0150820999632999,20.647851192451576,0.0607149693520659,20.654218249436035,0.1205520449222291,20.096047551666253,0.0065266152550274,20.423188000086263,0.0441563596503834,20.751410435087983,0.096357502824273,20.676703671942555,0.0768113588657994
001038.77-003241.4,388,51793,74,2.6615342,-0.5448224,18.95,18.5,18.56,18.69,18.87,10076.0,8.07,0.64,DA,results_convolution_2/spectra/spec-0388-51793-0074.fits,spec-0388-51793-0074.fits,0388-51792-02,388.0,51793.0,74.0,,18.625875104269888,0.0092558195338033,18.557854629643423,0.0072527887268414,18.588698228339545,0.0037486006299899,18.69926281169337,0.0067053581245896,18.487334668225166,0.002252678940386,18.35717942988844,0.0050650285365385,18.58717969887946,0.0106128850824231,18.9054986157962,0.0378389870012898,18.448044410837436,0.0023027571299357,18.80667457499785,0.0178418619835363,19.06041208232744,0.0386079204466314,18.645573133028694,0.0132338249904621
001041.40+010043.5,686,52519,572,2.6724953,1.0120756,19.84,19.31,19.28,19.36,19.49,9380.0,8.09,0.65,DA,results_convolution_2/spectra/spec-0686-52519-0572.fits,spec-0686-52519-0572.fits,0686-52519-01,686.0,52519.0,572.0,,19.45233709505606,0.0122886693126597,19.400923964219537,0.0104566591228582,19.50101631499195,0.0056088849461995,19.620450345862416,0.0108772211559222,19.409030403592105,0.0036900601542889,19.29241584630561,0.0082651624001569,19.44932240418067,0.0146797208501554,19.732136451701216,0.0501165183281277,19.34386804624761,0.0035275255458478,19.60991125148308,0.0213153455839367,19.837241638705727,0.0430934616622674,19.524934717197542,0.0194556176036768
001053.42+251207.3,2822,54389,626,2.722601,25.202033,20.09,20.33,20.89,20.99,20.75,45161.0,7.3,0.474,DA,results_convolution_2/spectra/spec-2822-54389-0626.fits,spec-2822-54389-0626.fits,2822-54379-01,2822.0,54389.0,626.0,,20.33685437340987,0.0091975617002527,20.37868439961627,0.0086513121306501,20.981863996493665,0.0104362719446258,21.012948001246365,0.0160375298926425,20.85663101335349,0.0059741562333481,20.581888343108808,0.0092607043966049,20.829124068659983,0.0275405478579617,20.37948563408667,0.0355584833230506,20.466494878917608,0.0033719480349455,20.31228932072083,0.0138468007496311,20.509920772939203,0.0261887039023118,21.017660794468306,0.0398374713776751
001108.92+002344.8,686,52519,597,2.7871607,0.39577974,20.94,20.34,20.58,20.84,20.97,13820.0,8.07,0.647,DA,results_convolution_2/spectra/spec-0686-52519-0597.fits,spec-0686-52519-0597.fits,0686-52519-01,686.0,52519.0,597.0,,20.68975005679824,0.0300756286994638,20.5903945396396,0.0246317351280382,21.28132890334401,0.0189681891230225,21.21568584893792,0.0337952196555341,20.85798799462692,0.0104558209979283,20.53388477169438,0.0196058479473363,21.19366294816431,0.0433092228706972,21.105121867165643,0.1517376094390897,20.569730830870743,0.0084419632659965,20.842672641324175,0.0545631103731737,21.23475572988793,0.1254144156891367,21.15191148871819,0.0525276841514811
001137.33-102509.1,652,52138,311,2.9055284,-10.419195,19.04,19.37,19.86,20.18,20.4,34403.0,7.47,0.475,DA,results_convolution_2/spectra/spec-0652-52138-0311.fits,spec-0652-52138-0311.fits,0652-52128-01,652.0,52138.0,311.0,,19.30296504991764,0.0160774021682677,19.304697594117947,0.0130111253292709,20.168887979516107,0.0108542511622407,19.96013651202089,0.0156584474574428,19.788330895931345,0.0061441673310668,19.484946730738933,0.01162978377719,20.73048462404615,0.0539558982458452,19.32886622385829,0.0749741733231789,19.387625880102867,0.0047519563407604,19.31072459734346,0.0277784949755417,19.480186632508698,0.0529888825724675,20.71626591654905,0.0675081908830394
001247.18+001048.7,686,52519,624,3.1965877,0.18020309,20.69,20.19,19.64,18.61,17.95,6300.0,10.0,,DAM,results_convolution_2/spectra/spec-0686-52519-0624.fits,spec-0686-52519-0624.fits,0686-52519-01,686.0,52519.0,624.0,,20.67544795548061,0.034994989265329,20.6586239958506,0.0312224194061434,18.78151712695942,0.0028842094792699,19.64482541462133,0.0103592462302317,19.9103439149012,0.0051808321658996,20.361742898877488,0.0184670112192713,18.22344438865445,0.0047553848253212,20.932317228177773,0.1653539935907771,20.422048722144982,0.0083738992251159,20.84560678808905,0.0590878289039683,21.06209779078082,0.1226384068168835,18.358196140460485,0.0067211730427228
001247.18+001048.7,687,52518,395,3.1965877,0.18020309,20.69,20.19,19.64,18.61,17.95,6300.0,10.0,,DAM,results_convolution_2/spectra/spec-0687-52518-0395.fits,spec-0687-52518-0395.fits,0687-52513-01,687.0,52518.0,395.0,,20.70743734578749,,20.63677733823274,,18.58931315093482,,19.456393696897344,,19.77116941446489,,20.338339460522768,,18.03473391691707,,21.231365878271696,,20.39769928185857,,20.945834654809524,,21.406954360909204,,18.16916444082748,
001306.22+005506.3,687,52518,377,3.2759141,0.91842137,19.85,19.38,19.41,19.58,19.62,11036.0,7.94,0.571,DA,results_convolution_2/spectra/spec-0687-52518-0377.fits,spec-0687-52518-0377.fits,0687-52513-01,687.0,52518.0,377.0,,19.56580528129516,,19.48026668561304,,19.621773835282063,,19.722434983613304,,19.44578435215981,,19.276570654932407,,19.70031955419289,,19.70882184161251,,19.36784990096205,,19.750540377033097,,19.859557252568383,,19.734394947398226,
001339.11+001924.9,389,51795,431,3.412942,0.32358206,0.0,0.0,0.0,0.0,0.0,9465.0,8.22,,DA,results_convolution_2/spectra/spec-0389-51795-0431.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001339.11+001924.9,686,52519,630,3.412942,0.32358206,0.0,0.0,0.0,0.0,0.0,9444.0,8.17,,DA,results_convolution_2/spectra/spec-0686-52519-0630.fits,spec-0686-52519-0630.fits,0686-52519-01,686.0,52519.0,630.0,,17.14899975433533,0.0027047216089568,17.195579864220782,0.0025593122510481,17.625223454814453,0.0012779236939403,17.694218414117906,0.0029932322270142,17.495486292342584,0.0009832370348849,17.31936366138165,0.0024208523875218,17.667854487303437,0.00309465161642,17.268419347833763,0.0097913769425947,17.25094106281815,0.0009343860066844,17.220115801228268,0.0041703589679814,17.39752672376867,0.0072342966526297,17.727888518778407,0.0041433300358825
001339.11+001924.9,687,52518,435,3.412942,0.32358206,0.0,0.0,0.0,0.0,0.0,9415.0,8.12,,DA,results_convolution_2/spectra/spec-0687-52518-0435.fits,spec-0687-52518-0435.fits,0687-52513-01,687.0,52518.0,435.0,,18.700780557256245,0.0060623175690641,18.604518174706364,0.005066782873287,18.40220324599995,0.0022224070233106,18.502117915774,0.0045306471095501,18.332567727807465,0.0014994326480292,18.343442205309763,0.003867127969867,18.4384520681892,0.0065312789403293,18.983653502737248,0.0220275864263269,18.45483501304455,0.0016392691301037,18.87808384250986,0.0103850055231117,19.11754362288773,0.0215280677907739,18.50455696850873,0.00804770943591
